SchoolDepartment,ProjectTitle,Finish Time,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Social Impact Engin,AITF Invitation (formal),,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",2019-03-04,21:52:00
Social Impact Engin,BTB Presentation Poster,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance, Public Outreach and Engagement",2019-03-05,20:07:00
Social Impact Engin,Pete Farewell Invite,,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",2019-03-08,04:44:00 PM
Social Impact Eng,ECEAP inquiry form,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,Website Programming,2019-03-08,09:50:00 PM
Social Impact Engin,CAP webpages and homepage,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Website Programming, Writing and Editing",2019-03-11,05:56:00 PM
Social Impact Engineering,Veterans bags,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design",2019-03-11,18:32:00
Social Impact Engineering,Farewell Blog,,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,"Social Media Strategy, Writing and Editing",2019-03-11,20:22:00
Social Impact Eng,Poster,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Technical Documentation",13-03-2019,05:07:00 PM
Social Impact Eng,Pre School Teacher Appreciation Day Post,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Public Outreach and Engagement, Social Media Strategy",2019-03-13,17:09:00
Social Impact Eng,ICC Flyer,,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance",2019-03-14,22:19:00
Administrative & Procedural Engineering,DART graduation post,,rstillgoe7@seesaa.net,Social Media Strategy,Mohammed Fassi,,15-03-2019,18:31:00
Social Impact Engin,Older LGBT Yoga,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Social Media Strategy",2019-03-19,04:07:00 PM
Social Impact Engin,ALTC Networking Meeting,,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,Public Outreach and Engagement,28-03-2019,16:01:00
Social Impact Eng,ADRC E-news,,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,Public Outreach and Engagement,2019-03-28,16:09:00
Social Impact Eng,Oh My Gosh - now what? Event,,rstillgoe7@seesaa.net,Social Media Strategy,Mohammed Fassi,,28-03-2019,05:07:00 PM
Social Impact Eng,PIT 2019 Infographic,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,,28-03-2019,17:09:00
Social Impact Engin,April Poster,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Proofreading and Quality Assurance, Graphic Design, Technical Documentation",28-03-2019,05:12:00 PM
Social Impact Eng,PIT 2019 Results News Release,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Public Outreach and Engagement, Public Relations, Proofreading and Quality Assurance, News and Media Communication",28-03-2019,17:14:00
Social Impact Engin,What They Had - Caregiving Films,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,,28-03-2019,17:19:00
Social Impact Eng,Edits to Employee FAQ,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,,2019-03-28,11:14:00 PM
Social Impact Engin,Story alive Blog,,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,"Video Editing, Public Outreach and Engagement, Proofreading and Quality Assurance, Graphic Design, Social Media Strategy",29-03-2019,20:39:00
Social Impact Eng,OMGosh Now What?,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,News and Media Communication,03-04-2019,22:39:00
Social Impact Engineering,AITF Final Presentations,,rstillgoe7@seesaa.net,Video Editing and Production,Mohammed Fassi,,04-04-2019,18:02:00
Social Impact Eng,Bring your child to work day poster,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,Technical Documentation,2019-04-08,10:22:00 PM
Social Impact Engin,Spring 2019 Newsletter,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Video Editing",09-04-2019,22:04:00
Social Impact Eng,Assessible Communities Committee rack card,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",2019-04-09,22:06:00
Social Impact Eng,Website additions,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,,09-04-2019,10:26:00 PM
Social Impact Engin,Veterans moving poster,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, Graphic Design, Social Media Strategy",2019-04-17,21:05:00
Social Impact Eng,Socrata descriptions,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Public Outreach and Engagement, Website Programming, Writing and Editing",2019-04-17,09:06:00 PM
Social Impact Engin,Weatherization graphics for social media,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Social Media Strategy",2019-04-17,09:07:00 PM
Social Impact Eng,"Updating home repair, weatherization and energy webpages",,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,Website Programming,17-04-2019,21:09:00
Social Impact Eng,placard designs,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design",2019-04-17,21:10:00
Social Impact Eng,"""The Dirt"" Ad - Tacoma Rainiers",,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance",2019-04-24,04:20:00 PM
Social Impact Eng,LTC Providers Meeting,,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,Public Outreach and Engagement,29-04-2019,07:29:00 PM
Social Impact Engin,ADRC E-News May 2019,,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,Public Outreach and Engagement,2019-04-29,07:31:00 PM
Social Impact Engineering,Caregiver Film,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"News and Media Communication, Social Media Strategy",29-04-2019,19:32:00
Social Impact Engineering,Keys to Caring,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Proofreading and Quality Assurance, Social Media Strategy, News and Media Communication",2019-04-30,06:45:00 PM
Social Impact Eng,1/2 Page flyer (portrait) for school districts,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Writing and Editing",2019-05-01,05:54:00
Social Impact Engineering,Yard Signs,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",2019-05-01,07:51:00 PM
Social Impact Engineering,Edits to Veterans brochure,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",2019-05-01,20:42:00
Social Impact Engin,Edits to ACAC page,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,Website Programming,2019-05-07,04:37:00 PM
Social Impact Engin,1/2 sheet portrait,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,,08-05-2019,17:48:00
Social Impact Engin,Ads - testing,,rstillgoe7@seesaa.net,Social Media Strategy,Mohammed Fassi,Social Media Strategy,2019-05-08,18:56:00
Social Impact Eng,FCSP advertising,,rstillgoe7@seesaa.net,Strategic Planning and Project Management,Mohammed Fassi,Public Outreach and Engagement,08-05-2019,18:59:00
Social Impact Eng,May - Poster,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",08-05-2019,19:13:00
Social Impact Engineering,FCSP ads - testing,,rstillgoe7@seesaa.net,Social Media Strategy,Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Social Media Strategy",08-05-2019,09:30:00 PM
Social Impact Eng,Intranet updates,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Website Programming, Proofreading and Quality Assurance",2019-05-08,21:32:00
Social Impact Eng,Community Action Month - social media,,rstillgoe7@seesaa.net,Social Media Strategy,Mohammed Fassi,Social Media Strategy,2019-05-08,09:44:00 PM
Social Impact Eng,Older Americans Month - social media,,rstillgoe7@seesaa.net,Social Media Strategy,Mohammed Fassi,Social Media Strategy,08-05-2019,21:45:00
Social Impact Engineering,Forms,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Proofreading and Quality Assurance, Website Programming",08-05-2019,09:50:00 PM
Social Impact Engin,Peanut Butter Drive Flyer,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design",2019-05-08,21:52:00
Social Impact Eng,2020 Retirement Connections Advertisement,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,,08-05-2019,22:01:00
Social Impact Engineering,AITF results report,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Social Media Strategy, Proofreading and Quality Assurance",2019-05-08,11:00:00 PM
Social Impact Engineering,DD bags,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,Graphic Design,14-05-2019,15:55:00
Social Impact Eng,Area Plan Survey,,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,"Public Outreach and Engagement, Website Programming",21-05-2019,23:28:00
Social Impact Engineering,Area Plan update ADR,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Public Outreach and Engagement, News and Media Communication, Writing and Editing, Proofreading and Quality Assurance",21-05-2019,11:29:00 PM
Social Impact Eng,Flyer for Area Plan Update Survey,,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",21-05-2019,11:30:00 PM
Social Impact Engin,Area plan summary,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,,21-05-2019,23:32:00
Social Impact Eng,Area plan update - final,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",2019-05-21,11:33:00 PM
Social Impact Engin,B-25 board,,rstillgoe7@seesaa.net,Social Media Strategy,Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Social Media Strategy",22-05-2019,08:35:00 PM
Social Impact Eng,ECEAP updates,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,Website Programming,29-05-2019,21:35:00
Social Impact Engin,ADRC FCSP bags,,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,Graphic Design,2019-05-30,03:03:00 PM
Social Impact Engineering,ADRC E-News June 2019,,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,Public Outreach and Engagement,2019-05-31,15:45:00
Social Impact Engineering,LTC Providers Meeting,,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,Public Outreach and Engagement,2019-05-31,15:46:00
Social Impact Engin,Powerful Tools for Caregivers,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, Public Relations, News and Media Communication",2019-05-31,19:17:00
Social Impact Engineering,Powerful Tools for Caregivers - Facebook,,rstillgoe7@seesaa.net,Social Media Strategy,Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy",2019-05-31,19:18:00
Social Impact Engin,Films on Caregiving - Intelligent Lives,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Public Relations, News and Media Communication",2019-06-03,15:04:00
Social Impact Eng,Intelligent Lives - event,,rstillgoe7@seesaa.net,Social Media Strategy,Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy",2019-06-03,03:05:00 PM
Social Impact Eng,SAGE table flyer,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Social Media Strategy",2019-06-03,15:59:00
Engineering Leadership and Strat,Bus Shelter Ads,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",2019-06-03,11:12:00 PM
Social Impact Engineering,Bus and Shelter Ads,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Public Outreach and Engagement",05-06-2019,20:24:00
Social Impact Eng,Sewer Inserts,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance",05-06-2019,08:27:00 PM
Social Impact Engineering,Fiverrr videos,,rstillgoe7@seesaa.net,Video Editing and Production,Mohammed Fassi,"Video Editing and Production, Proofreading and Quality Assurance, Graphic Design, Social Media Strategy",2019-06-05,20:43:00
Social Impact Engineering,ADRC bags,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,Graphic Design,2019-06-05,08:45:00 PM
Social Impact Eng,Table Toppers (2),,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",07-06-2019,11:43:00 PM
hu,Ombudsman social media recruitment,,rstillgoe7@seesaa.net,Social Media Strategy,Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy",07-06-2019,23:44:00
Social Impact Engin,Summer 2019 Newsletter,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",2019-06-07,11:51:00 PM
Social Impact Eng,FCSP ads - elections,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,Graphic Design,07-06-2019,11:52:00 PM
Social Impact Engineering,STW orientation flyer,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Social Media Strategy",07-06-2019,23:54:00
Social Impact Engin,Doug Means farewell,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Graphic Design, Technical Documentation",2019-06-12,19:47:00
Social Impact Eng,Making the Link logo,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,Graphic Design,13-06-2019,03:05:00 PM
